ensembl_id,gene_symbol,ncbi_id
Unknown,n-TEctc6,NCBI:102467519
Unknown,n-TEctc8,NCBI:102467520
Unknown,n-TEctc11,NCBI:102467521
Unknown,n-TEctc12,NCBI:102467522
Unknown,n-TEttc2,NCBI:102467523
Unknown,n-TEttc4,NCBI:102467524
Unknown,n-TEttc6,NCBI:102467525
Unknown,n-TGacc1,NCBI:102467526
Unknown,n-TGccc3,NCBI:102467527
Unknown,n-TGccc5,NCBI:102467528
Unknown,n-TGccc7,NCBI:102467529
Unknown,n-TGgcc2,NCBI:102467530
Unknown,n-TGgcc5,NCBI:102467531
Unknown,n-TGgcc8,NCBI:102467532
Unknown,n-TGgcc11,NCBI:102467533
Unknown,n-TGgcc13,NCBI:102467534
Unknown,n-TGtcc1,NCBI:102467535
Unknown,n-TGtcc3,NCBI:102467536
Unknown,n-TGtcc6,NCBI:102467537
Unknown,n-THatg1,NCBI:102467538
Unknown,n-THgtg6,NCBI:102467539
Unknown,n-TIaat2,NCBI:102467541
Unknown,n-TIaat3,NCBI:102467542
Unknown,n-TIaat5,NCBI:102467543
Unknown,n-TIaat7,NCBI:102467544
Unknown,n-TIaat12,NCBI:102467546
Unknown,n-TIaat16,NCBI:102467548
Unknown,n-TLaag2,NCBI:102467549
Unknown,n-TLaag5,NCBI:102467550
Unknown,n-TLaag8,NCBI:102467551
Unknown,n-TLcaa1,NCBI:102467552
Unknown,n-TLcag1,NCBI:102467553
Unknown,n-TLcag3,NCBI:102467554
Unknown,n-TLcag5,NCBI:102467555
Unknown,n-TLcag8,NCBI:102467556
Unknown,n-TLcag10,NCBI:102467557
Unknown,n-TLtag1,NCBI:102467559
Unknown,n-TKctt1,NCBI:102467560
Unknown,n-TKctt2,NCBI:102467561
Unknown,n-TKctt5,NCBI:102467562
Unknown,n-TKctt7,NCBI:102467563
Unknown,n-TKctt10,NCBI:102467564
Unknown,n-TKctt12,NCBI:102467565
ENSMUSG00000140395,n-TKctt14,NCBI:102467566
Unknown,n-TKctt16,NCBI:102467567
Unknown,n-TKctt19,NCBI:102467568
Unknown,n-TKctt24,NCBI:102467570
Unknown,n-TKctt27,NCBI:102467571
Unknown,n-TKctt29,NCBI:102467572
Unknown,n-TMcat1,NCBI:102467573
Unknown,n-TMcat6,NCBI:102467575
Unknown,n-TMcat13,NCBI:102467578
Unknown,n-TMcat16,NCBI:102467579
Unknown,n-TMcat18,NCBI:102467580
Unknown,n-TFgaa3,NCBI:102467582
Unknown,n-TFgaa6,NCBI:102467583
